,Sensors,Distributions,Parameters
0,T24,dgamma,"(1.66401614134398, 0.5924547717551679, 0.0573976664609451)"
1,T30,genlogistic,"(2.6675555648749842, 0.505101533890219, 0.09143939079745397)"
2,T50,rice,"(1.030304322504628, 0.2742776408652623, 0.1865166786066983)"
3,P30,gausshyper,"(3.397527103157458, 5.312392179888309, 2.758879105951067, 4.193378842330786, 0.257525700924483, 1.004451682994727)"
4,Nf,kstwobign,"(0.036836442936329414, 0.54980841718418)"
5,Nc,hypsecant,"(0.45804539790701015, 0.11977554442405802)"
6,Ps30,dgamma,"(1.2086336895858196, 0.4394331270112345, 0.10775767881692866)"
7,phi,laplace,"(0.43058584494394203, 0.1215549365614892)"
8,NRf,laplace,"(0.4263438805201699, 0.11495049422053866)"
9,NRc,laplace,"(0.4208103561764009, 0.12934750047654775)"
10,BPR,laplace,"(0.4263438805182311, 0.12848268056923648)"
11,htBleed,laplace,"(0.4263438805201697, 0.13376382558891264)"
12,W31,dgamma,"(1.2129714674458145, 0.43988340811737925, 0.11103539410282506)"
13,W32,hypsecant,"(0.455695342540947, 0.11624509486231986)"
